college_name,nickname,conference,tag_list,network_list
SMU,Mustangs,American,"University Park, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
Southern Miss,Golden Eagles,C-USA,"Hattiesburg, Mississippi, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
Stanford,Cardinal,Pac-12,"Stanford, California, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Syracuse,Orange,ACC,"Syracuse, New York, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
TCU,Horned Frogs,Big 12,"Fort Worth, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , "
Temple,Owls,American,"Philadelphia, Pennsylvania, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
Tennessee,Volunteers,SEC,"Knoxville, Tennessee, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Texas,Longhorns,Big 12,"Austin, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , "
Texas A&M,Aggies,SEC,"College Station, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Texas State,Bobcats,Sun Belt,"San Marcos, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, , , , , , , "
Texas Tech,Red Raiders,Big 12,"Lubbock, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , "
UTEP,Miners,C-USA,"El Paso, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
UTSA,Roadrunners,C-USA,"San Antonio, Texas, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
Toledo,Rockets,MAC,"Toledo, Ohio, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Troy,Trojans,Sun Belt,"Troy, Alabama, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, , , , , , , "
Tulane,Green Wave,American,"New Orleans, Louisiana, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
Tulsa,Golden Hurricane,American,"Tulsa, Oklahoma, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, , , , , "
Utah,Utes,Pac-12,"Salt Lake City, Utah, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Utah State,Aggies,Mountain West,"Logan, Utah, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
Vanderbilt,Commodores,SEC,"Nashville, Tennessee, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","CBS, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, SEC Network, , , , , "
Virginia,Cavaliers,ACC,"Charlottesville, Virginia, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
Virginia Tech,Hokies,ACC,"Blacksburg, Virginia, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
Wake Forest,Demon Deacons,ACC,"Winston-Salem, North Carolina, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , , "
Washington,Huskies,Pac-12,"Seattle, Washington, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
Washington State,Cougars,Pac-12,"Pullman, Washington, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, Pac-12 Network, Twitter"
West Virginia,Mountaineers,Big 12,"Morgantown, West Virginia, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, Fox, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, Fox Sports Networks, Fox Sports 1, Fox College Sports, , "
Western Kentucky,Hilltoppers,C-USA,"Bowling Green, Kentucky, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","Fox Sports Networks, Fox Sports 1, Fox College Sports, American Sports Network, CBS Sports Network, , , , , , , "
Western Michigan,Broncos,MAC,"Kalamazoo, Michigan, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, American Sports Network, CBS Sports Network, , , , , "
Wisconsin,Badgers,Big Ten,"Madison, Wisconsin, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ABC, ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, BTN, , , , , "
Wyoming,Cowboys,Mountain West,"Laramie, Wyoming, NCAA, College, Football, College Football, BCS, Bowl Game, FBS, Heisman, Championship","ESPN, ESPN2, ESPNU, ESPNEWS, ESPN3, CBS Sports Network, Root Sports, , , , , "
